video_id,author,text,publishedAt,sentiment
_sfdcQO7bfc,@marianagoraieb583,❤❤❤ Thank You ❤️❤️❤️ Free Palestine State ❤️ devolution territóries ❤ Free world From Nazi'srael 🙏🙏🙏 80 Years occupation hedious depraved criminals violating rights Laws borders LEGAL owners Palestinians stolen violated for 80 Years nonstop,29/10/25 09:27,Negative
_sfdcQO7bfc,@MasratJan-h5c,Oh mammmmm.... U just melted me..... I hv crush on u...,28/10/25 07:26,Negative
_sfdcQO7bfc,@rayhansSAT1,thanks for being on the side of humanity,27/10/25 13:06,Positive
_sfdcQO7bfc,@majigaining,Isn't she a truer Christian than C. Kirk?,25/10/25 07:15,Negative
_sfdcQO7bfc,@aishamahmood6313,❤❤❤ free Palestine,21/10/25 13:45,Positive
_sfdcQO7bfc,@dinyarjalnawalla8181,Miss Roy you are God gifted person.,19/10/25 10:25,Unknown
_sfdcQO7bfc,@MacnCheese.velveeta,I love her. Her book changed my views on Kashmir entirely. To the point that I wanna fight for them ❤,09/10/25 16:28,Positive
_sfdcQO7bfc,@sandeepkumarreddypadala3389,Don't tell Israel how to respond...,06/10/25 13:24,Negative
_sfdcQO7bfc,@Mgk830,Why are u worried about happenings in a foreign land..worry about what happens in your backyard...,05/10/25 15:20,Negative
_sfdcQO7bfc,@MissGlitchXO,"If there's no genocide, would you swap places with a Palestinian?",29/09/25 20:07,Negative
_sfdcQO7bfc,@SpencerItaliano-b4p,I love you 💗,29/09/25 06:58,Positive
_sfdcQO7bfc,@DoryGull,"I really wish this woman would take her brain out of her ass. The statements she has made so far make no sense, even to a first-grade student. According to her, India is a terrorist nation and Pakistan is not, despite all the terrorist attacks in India being conducted by Pakistani nationals. Hell, even Pakistan bombed their own people in KPK just days ago...when will she stop taking drugs and pay attention to reality?",26/09/25 11:08,Negative
_sfdcQO7bfc,@Shiva14082,"After stand with poor minority victim ,Yasim malik now she is with Gaza 😢😢😢😢",25/09/25 12:30,Negative
_sfdcQO7bfc,@bazm-e-Salman,❤,24/09/25 07:20,Positive
_sfdcQO7bfc,@muhammadthephysio,"When ever I came across the televise Israel and American live genocide, I just feel like crying, I just couldn't imagine something can ever in this world we are living, I cries to the extent now I just feel sadness and rage, especially considering how helpless Palestinians people are. May ALLAH be with them.",23/09/25 18:55,Negative
_sfdcQO7bfc,@HadizaBinYusuf-od5sx,So the Zionists were planning how to cleansed the people of Palestinians for decades and have the audacity to call Hamas terrorists. May Almighty Allah punished them and stopped them.,19/09/25 18:27,Negative
_sfdcQO7bfc,@KiranKSheth,"Arun- DHRUTI Roy is hell-bent on protecting her cousin PRONNOY ROY accused of money bungling and cases involving money transfer, encouraging division of India by community warfare Has She done any act of kindness to rescue a cow or dog leave aside humans.",18/09/25 14:56,Negative
_sfdcQO7bfc,@aynos629,Brilliant speech ❤❤❤❤❤❤,17/09/25 23:16,Positive
_sfdcQO7bfc,@najeebmmarker2013,"Shut up, Roy!",17/09/25 00:34,Negative
_sfdcQO7bfc,@AliShah-ir9by,"Love, kisses, huggs, salute & hats off.",16/09/25 19:17,Positive
_sfdcQO7bfc,@KA-vr4uu,"Bringing Hamas, Hezbollah & Iran to draw on “moral equivalency” in comparison to israel’s 100 years of running a criminal syndicate and committing atrocities is irrelevant, especially when she doesn’t specify what human rights abuses she is attributing to Hamas, Hezbollah or Iran!   Does she realize that the country that she comes from is one of the worst human rights abusers in the world? But curiously, she leaves that out and doesn’t call Modi’s gov a regime which is the most appropriate.",12/09/25 02:54,Negative
_sfdcQO7bfc,@RalphBoyshline,The full speech: https://www.youtube.com/watch?v=GLwgN6q1jow,11/09/25 16:49,Neutral
