video_id,author,text,publishedAt
_sfdcQO7bfc,@marianagoraieb583,❤❤❤ Thank You ❤️❤️❤️ Free Palestine State ❤️ devolution territóries ❤ Free world From Nazi'srael 🙏🙏🙏 80 Years occupation hedious depraved criminals violating rights Laws borders LEGAL owners Palestinians stolen violated for 80 Years nonstop,29/10/25 09:27
_sfdcQO7bfc,@MasratJan-h5c,Oh mammmmm.... U just melted me..... I hv crush on u...,28/10/25 07:26
_sfdcQO7bfc,@rayhansSAT1,thanks for being on the side of humanity,27/10/25 13:06
_sfdcQO7bfc,@majigaining,Isn't she a truer Christian than C. Kirk?,25/10/25 07:15
_sfdcQO7bfc,@aishamahmood6313,❤❤❤ free Palestine,21/10/25 13:45
_sfdcQO7bfc,@dinyarjalnawalla8181,Miss Roy you are God gifted person.,19/10/25 10:25
_sfdcQO7bfc,@MacnCheese.velveeta,I love her. Her book changed my views on Kashmir entirely. To the point that I wanna fight for them ❤,09/10/25 16:28
_sfdcQO7bfc,@sandeepkumarreddypadala3389,Don't tell Israel how to respond...,06/10/25 13:24
_sfdcQO7bfc,@Mgk830,Why are u worried about happenings in a foreign land..worry about what happens in your backyard...,05/10/25 15:20
_sfdcQO7bfc,@MissGlitchXO,"If there's no genocide, would you swap places with a Palestinian?",29/09/25 20:07
_sfdcQO7bfc,@SpencerItaliano-b4p,I love you 💗,29/09/25 06:58
_sfdcQO7bfc,@DoryGull,"I really wish this woman would take her brain out of her ass. The statements she has made so far make no sense, even to a first-grade student. According to her, India is a terrorist nation and Pakistan is not, despite all the terrorist attacks in India being conducted by Pakistani nationals. Hell, even Pakistan bombed their own people in KPK just days ago...when will she stop taking drugs and pay attention to reality?",26/09/25 11:08
_sfdcQO7bfc,@Shiva14082,"After stand with poor minority victim ,Yasim malik now she is with Gaza 😢😢😢😢",25/09/25 12:30
_sfdcQO7bfc,@bazm-e-Salman,❤,24/09/25 07:20
_sfdcQO7bfc,@muhammadthephysio,"When ever I came across the televise Israel and American live genocide, I just feel like crying, I just couldn't imagine something can ever in this world we are living, I cries to the extent now I just feel sadness and rage, especially considering how helpless Palestinians people are. May ALLAH be with them.",23/09/25 18:55
