video_id,author,text,likeCount,publishedAt,sentiment
QIRkGym8q20,@cbchaurasia6042,ये मूवी पूरे देश में टैक्स फ्री हो। पूरी दुनिया में भी टैक्स फ्री हो।,1,06/11/25 21:14,Unknown
QIRkGym8q20,@Guddimalva,❤,1,06/11/25 19:08,Positive
QIRkGym8q20,@MohammedAleem-g8y,Kitna b bol bhai Film dekh ne nahi jayenge 😂😂😂,0,03/11/25 19:37,Negative
QIRkGym8q20,@MohammedAleem-g8y,Highlight of The talk ....@sudhenshi Trivedi Expert 😅😅😅,0,03/11/25 19:36,Negative
QIRkGym8q20,@MohammedAleem-g8y,@paresh rawal Aj ki situtation garebi ke naam pe film bna do Mp of BJP 😅😅 ur a good actor achi script lekar baithe ho channel pe,0,03/11/25 19:35,Negative
QIRkGym8q20,@WajidShaikh-v7w,Are sir beroz gari pe koi Film banao do  par mujhe pata hai aap log nahi banaye ge kue ki Paisa nahi banega na 😂😂,0,03/11/25 19:06,Negative
QIRkGym8q20,@Amitkumarjii8080,"ओ माई गॉड 
पश्चाताप कर रहे है
परवेश रावल जी",0,03/11/25 09:33,Negative
QIRkGym8q20,@MaharashtraPune43,Jai Shree Ram 🚩,0,03/11/25 00:34,Unknown
QIRkGym8q20,@sabir609,Again 😂bjjp propaganda movie hindu 🕉 bhakao jhhot se aur vote lo ..ek k baad ek aise hi fake story me movie aa rhi h jis jobs dene development pe mehgayi kam krne new school new hospital kholne new college khone desh chalane me ye government fail h isliye propaganda movie la rhi h ..taki hindu bhadkao aur vote 🗳 lo,0,02/11/25 20:27,Negative
QIRkGym8q20,@Dilsejeeto1,Sir mujhe bahut hi achha laga movie aur bhi movie me bataya gaya hai sach hai dhanywaad Paresh Rawal sir ko 🙏🙏,0,02/11/25 19:58,Unknown
QIRkGym8q20,@mojumkarga8537,"Long live mughals....
Long live truth.....
Long live taj mahal.....",0,02/11/25 19:01,Positive
QIRkGym8q20,@hoysalalife9685,"Ye movie vale...
Paise ke liye.. khud tatti karkar 
Tatti ku sukar khalenge....
Log pagel hain 😂😂😂😂",0,02/11/25 18:07,Negative
QIRkGym8q20,@MohammedSameer-sb2wj,Itihaas tune padhaane Paresh Rawal to paison ke liye Tod mod ke bata raha hai itihaas Paresh Rawal tu najron mein Se mat gir,0,02/11/25 03:51,Neutral
QIRkGym8q20,@MohammedSameer-sb2wj,Paison ke liye bik ja raha hai Paresh Rawal Tum itna mat karo kya logon ki najar mein Se gir jaaye,0,02/11/25 03:38,Negative
QIRkGym8q20,@SushantParida-k9s,jaihind,0,01/11/25 21:41,Neutral
QIRkGym8q20,@mobile_games3772,Wo jhatu Sudhanshu Trivedi vi expart hain😁😁😁😁,0,01/11/25 21:21,Unknown
QIRkGym8q20,@comedyjokesbyskkalbi-wf9yv,परेश रावल ऑन टॉप 🎉🎉🎉,0,01/11/25 18:21,Unknown
QIRkGym8q20,@astrosiddheshwar,मुगलों  ने कुछ नहीं बनाया केवल कब्जा किया है यह सब हिंदू राजाओं का है,0,01/11/25 18:04,Negative
QIRkGym8q20,@Maheshbagodariya,तेजो मेहल असली नाम है,2,01/11/25 17:41,Neutral
QIRkGym8q20,@ashutoshsharma552,Go to Nitin Shukla episode  Tajmahal,0,01/11/25 17:21,Neutral
QIRkGym8q20,@ashokmali2890,Jab muslim ka kirdar nibhaya tha tab aap ne a saval kiyu nahi kiya a to hindu hai or hindu film kiya hai koi kya ukhad lega hindu ekta hai ham dekh te hai thik hai,0,31/10/25 19:10,Negative
QIRkGym8q20,@deepakchaudhari9314,Jay sanatan🚩,2,31/10/25 16:50,Neutral
