video_id,author,text,likeCount,publishedAt,sentiment
qHKYfmrvBqk,@ManishaSharma-gr5sd,Bekar aurat he,0,20/02/25 16:32,Negative
qHKYfmrvBqk,@Aryavart2,Boys always remember Male bestfriend Is backup option,7,09/01/25 13:45,Neutral
qHKYfmrvBqk,@samirsonawani4027,Yeh log sirf paise aur fame ke peeche bhagte hain inko sirf logon ko use karna ata hai,9,08/01/25 14:43,Negative
qHKYfmrvBqk,@YouMe-kj5lp,bhai Jhooth per Jhooth 😂,15,06/01/25 12:34,Positive
qHKYfmrvBqk,@FoxDutya,💔 bhaiii ...r***,0,06/01/25 12:32,Negative
3K70wP2VqL4,@peepoye,"Click here to book your FREE 3D TEETH SCAN with toothsi : https://toothsi.makeo.app/403PYSF
Guys, Kya Dhanashree ko ek Gold-Digger kehna sahi hai?",45,08/01/25 13:45,Unknown
3K70wP2VqL4,@kareemulhaq12,Upper wala bachaye aurat jaat ki chalakiyo se,3,27/02/25 21:16,Negative
3K70wP2VqL4,@pramodnaidu1355,"These people should not have married without properly understanding each other and testing their love for each other. 
Also bhai, she looks like a gold digger bhai. You see so many wives of cricketers they dont pose cleavage or funky dresses etc after marriage on Instagram for other people to see. So she is getting backlash. Rohit ka wife dekho, anushka sharma, sakshi etc. 

This Dhanashree was over acting since beginning.Now she got fame and all projects lined up, she doesnt need yuzhi. 

And please don't tell me that dhanashree was such a pure heart who doesn't look for physical attraction in her partner. She just used this poor guy and this guy became submissive to her coz she was hot, she understood this and she started to dominate him.
Its clearly visible 😂😂😂",1,26/02/25 17:51,Negative
3K70wP2VqL4,@shashanks1915,"Aajkl sunder ladkiyan Ek k sath tikti nhi hain Lamba..isliye aisi sunder dikhne walion ko bhaav nhi dene ka..Husn ki pari samjhne lgti h..😡
Ye sab Veshyaa hi kehlaati hain..",0,25/02/25 17:58,Negative
3K70wP2VqL4,@Scarface-Rider,Gold digger,1,24/02/25 01:44,Negative
3K70wP2VqL4,@Rangeela108,"Best Investment 
4yr mhh 60cr Earning...😂😂😂😂",0,22/02/25 14:33,Negative
3K70wP2VqL4,@Kishgl-s2z,Thirdclass a***t,1,21/02/25 12:41,Negative
3K70wP2VqL4,@thetacker1682,Stop defending dhana shree she deserve this,0,21/02/25 09:20,Negative
3K70wP2VqL4,@sunnysir21,"Bas wo alimony na le, to hi apki ye baate valid he. If she demands, then she is surely a Gold digger. Ab to news he 60 Cr alimony ki, so yes, its true, she is gold digger and she used chahars fame to grow her carrier....😮",0,21/02/25 05:23,Negative
3K70wP2VqL4,@jugalkishoremahapatra8193,And dhanashrre v spinner he,0,19/02/25 03:12,Negative
3K70wP2VqL4,@kunaldev1257,"Chahal bhai itna focus the cricket me ki unko yeh sub nhi pata tha. His knowledge wasn't vast. If u are hardworking, marry someone who has gone the same route. Otherwise they won't understand.",0,15/02/25 06:00,Negative
3K70wP2VqL4,@LifeTalkies01,"Sir, can i make videos like you under your banner",0,11/02/25 10:05,Neutral
3K70wP2VqL4,@imtheuttam,"Yea ladki sach much main characterless hai.. nd yea she is a gold digger..
Aise ladkiyo ko koi bhi ladka bhaw nahi dena chahiye boycott karna chahiye",0,04/02/25 12:16,Negative
3K70wP2VqL4,@FroZenGhoSt67,we will see how kind hearted person she is................,1,04/02/25 01:43,Negative
3K70wP2VqL4,@amazingtrack,"Agar aukat pata karni ho to Yuzi sir se shadi ke pahle kitni famous thi , Actually me tab to apko apke gali ka baccha bhi nhi janta tha lekin ab Yuzi sir se shadi ke bad apko India ke har gahar ka baccha bachha pahchan bhi gya hai, SIRF OR SIRF FAME OR NAME PAANE ke liye Yuzi sir ki life barbad ker di hai inhone. Enki jaesi larkio ki vajh se he sari larkiyan badnam hoti hai. Ye vahi maschli hai jo pure talab ko apne jesa ganda bana deti hai.",0,26/01/25 13:59,Negative
3K70wP2VqL4,@Psi8n2,"Pehli baar lag raha hai ki aapko sab dikh raha hai, lekin aap bolna nahin chahte.  Sorry, aaj aap kisi aise vyakti ka paksh le rahe hain jiska paksh nahin lena chahie tha.",0,22/01/25 20:25,Negative
3K70wP2VqL4,@stealthmodeon-p2w,"Dont feel bad for Yuzi, c tha woh aur ab bhugat raha hai...",0,21/01/25 10:15,Negative
